"","postcode","year","win_temp_mean","sum_temp_mean","win_temp_sd","sum_temp_sd","pm2_5","death_all","death_CHD","death_CPD","death_MI","population","income_median_person","RSE.Disadv","RSE.Adv.Disadv","Economic.Resources","Education.and.Occupation","SEIFA","age.64.cvd","age65.69.cvd","age70.74.cvd","age75.79.cvd","age80.84.cvd","age..85.cvd","Female.cvd","Male.cvd","death_CVD","age.64.RD","age65.69.RD","age70.74.RD","age75.79.RD","age80.84.RD","age..85.RD","Female.RD","Male.RD","death_RD","all_age.64","all_age65.69","all_age70.74","all_age75.79","all_age80.84","all_age..85","all_female","all_male","nonacid_age.64","nonacid_age.85","nonacid_age65.69","nonacid_age70.74","nonacid_age75.79","nonacid_age80.84","nonacid_Female","nonacid_Male","death_nonacid","brisban","age.cvd_65add","age.RD_65add","all_age.65add","nonacid_age.65add","cluster"
"1","4000","1998",16.2336956521739,25.4472222222222,2.2534480136694,1.95471715691697,7,24,2,0,8,16552,706,1008,1061,858,1105,4032,4,3,0,1,2,0,1,9,10,0,0,0,0,0,0,0,0,0,16,3,0,3,2,0,3,21,14,0,3,0,3,2,3,19,22,1,6,0,8,8,"1"
"2","4000","1999",15.375,23.9,1.93950401499348,1.87412901118407,7,19,4,0,3,16552,706,1008,1061,858,1105,4032,1,1,1,2,6,1,3,9,12,1,0,0,0,1,0,1,1,2,6,1,1,2,8,1,5,14,3,1,1,1,2,8,4,12,16,1,11,1,13,13,"1"
"3","4000","2000",15.9891304347826,24.5494505494506,1.69027317655201,1.93369959900553,8,20,6,0,4,16552,706,1008,1061,858,1105,4032,1,3,1,5,1,1,2,10,12,0,0,0,0,1,0,1,0,1,7,4,1,5,2,1,4,16,3,1,4,1,5,2,4,12,16,1,11,1,13,13,"1"
"4","4000","2001",16.6358695652174,25.42,1.82338783356449,1.86432805619708,8,19,2,0,4,16552,706,1008,1061,858,1105,4032,3,1,1,0,1,4,4,6,10,1,0,1,0,1,0,0,3,3,7,1,3,0,2,6,6,13,4,5,1,2,0,2,5,9,14,1,7,2,12,10,"1"
"5","4000","2002",16.3152173913043,25.925,1.75992849396504,1.9373799346633,8,22,4,0,3,16552,706,1008,1061,858,1105,4032,2,0,0,4,1,6,3,10,13,0,0,0,0,0,0,0,0,0,7,1,0,6,2,6,3,19,3,6,1,0,6,2,3,15,18,1,11,0,15,15,"1"
"6","4000","2003",16.420652173913,25.0666666666667,2.15828523934878,1.65931148574991,8,15,3,1,0,16552,706,1008,1061,858,1105,4032,0,2,0,0,1,1,2,2,4,1,0,1,0,0,0,0,2,2,8,2,1,0,1,3,3,12,1,2,2,1,0,1,2,5,7,1,4,1,7,6,"1"
"7","4000","2004",16.7076086956522,26.3054945054945,1.92173706310301,2.56313014527865,8,13,0,0,1,16552,706,1008,1061,858,1105,4032,0,0,0,1,1,2,2,2,4,0,0,0,0,0,1,1,0,1,5,0,0,2,3,3,3,10,0,3,0,0,1,1,3,2,5,1,4,1,8,5,"1"
"8","4000","2005",16.9989130434783,26.4055555555556,1.83323976509117,1.76011434199,8,12,1,1,1,16552,706,1008,1061,858,1105,4032,1,0,1,1,1,0,0,4,4,0,0,0,0,1,0,0,1,1,5,0,1,2,2,2,2,10,3,2,0,1,1,2,2,7,9,1,3,1,7,6,"1"
"9","4000","2006",16.9103260869565,25.3405555555556,1.42846913453633,2.17744947237452,7,17,3,0,1,16552,706,1008,1061,858,1105,4032,1,0,1,3,0,2,2,5,7,1,0,0,0,0,2,1,2,3,8,0,2,3,0,4,4,13,6,4,0,2,3,0,4,11,15,1,6,2,9,9,"1"
"10","4000","2007",16.1228260869565,25.0294444444444,2.11922665040706,1.65731091324804,7,18,3,0,3,16552,706,1008,1061,858,1105,4032,4,2,1,1,1,1,0,10,10,0,0,0,0,0,1,0,1,1,9,2,2,1,1,3,2,16,5,2,2,2,1,1,0,13,13,1,6,1,9,8,"1"
